project,amount,billDate,type
FE5AB/6AB,215888.80000000002,2020-11-04,03-Revenue
FE5AB/6AB,431777.60000000003,2020-01-30,03-Revenue
FE5AB/6AB,431777.60000000003,2020-03-30,03-Revenue
FE5AB/6AB,431777.60000000003,2020-06-30,03-Revenue
FE5AB/6AB,647666.4,2020-10-31,03-Revenue
FE5AB/6AB_3rd Party_1,80000.0,2020-08-07,03-Revenue
FE5AB/6AB_3rd Party_2,85000.0,2020-09-30,03-Revenue
FE5AB/6AB_Extension,130000.0,2020-08-30,03-Revenue
GAC,-15225.544500000004,2021-02-01,02-RBEI
GAC,-15094.5185,2021-03-01,02-RBEI
GAC,-14506.211500000003,2021-01-01,02-RBEI
GAC,-12776.161999999998,2021-04-01,02-RBEI
GAC,-9373.2,2020-07-01,01-Vendor
GAC,-5148.49,2020-09-01,01-Vendor
GAC,-4944.0,2020-10-01,01-Vendor
GAC,-4901.88,2020-11-01,01-Vendor
GAC,-4874.84,2021-01-01,01-Vendor
GAC,-4847.8,2020-12-01,01-Vendor
GAC,-4686.6,2020-08-01,01-Vendor
GAC,168000.0,2021-09-30,03-Revenue
GAC,336000.0,2020-11-30,03-Revenue
GAC,503999.99999999994,2021-03-30,03-Revenue
GAC,672000.0,2019-11-30,03-Revenue
GAC_Complex Driver,-59976.43200000003,2021-08-01,02-RBEI
GAC_Complex Driver,-59920.793,2021-10-01,02-RBEI
GAC_Complex Driver,-59920.793,2021-11-01,02-RBEI
GAC_Complex Driver,-59920.793,2021-12-01,02-RBEI
GAC_Complex Driver,-50678.95000000001,2021-09-01,02-RBEI
GAC_Complex Driver,-40838.15,2021-07-01,02-RBEI
GAC_Complex Driver,-37465.10100000001,2021-06-01,02-RBEI
GAC_Complex Driver,-30451.089000000007,2021-02-01,02-RBEI
GAC_Complex Driver,-30189.037,2021-03-01,02-RBEI
GAC_Complex Driver,-29012.423000000006,2021-01-01,02-RBEI
GAC_Complex Driver,-25552.323999999997,2021-04-01,02-RBEI
GAC_Complex Driver,-21995.913999999997,2021-05-01,02-RBEI
GAC_Complex Driver,416000.00000000006,2021-03-01,03-Revenue
GAC_Complex Driver,416000.00000000006,2022-05-01,03-Revenue
GAC_Complex Driver,1248000.0,2021-11-30,03-Revenue
GE12B,-111600.0,2019-02-01,01-Vendor
GE12B,-84600.0,2019-01-01,01-Vendor
GE12B,-64912.5,2019-08-01,01-Vendor
GE12B,-48600.0,2019-07-01,01-Vendor
GE12B,-43637.925,2019-11-01,01-Vendor
GE12B,-41625.0,2019-10-01,01-Vendor
GE12B,-36000.0,2019-03-01,01-Vendor
GE12B,-35993.3,2019-12-01,01-Vendor
GE12B,-34537.5,2019-01-01,01-Vendor
GE12B,-33986.5,2019-02-01,01-Vendor
GE12B,-32400.0,2019-02-01,01-Vendor
GE12B,-31387.5,2019-09-01,01-Vendor
GE12B,-30150.0,2018-12-01,01-Vendor
GE12B,-29340.0,2019-04-01,01-Vendor
GE12B,-28800.0,2019-02-01,01-Vendor
GE12B,-23175.0,2019-02-01,01-Vendor
GE12B,-21850.0,2019-03-01,01-Vendor
GE12B,-21850.0,2019-05-01,01-Vendor
GE12B,-21600.0,2019-02-01,01-Vendor
GE12B,-20887.1,2019-04-01,01-Vendor
